simulation,depletion_year
0,2056
1,2051
2,2059
3,2053
4,2053
5,2053
6,2057
7,2055
8,2050
9,2052
10,2059
11,2054
12,2053
13,2057
14,2049
15,2056
16,2054
17,2055
18,2052
19,2053
20,2048
21,2052
22,2059
23,2059
24,2054
25,2054
26,2055
27,2055
28,2055
29,2062
30,2055
31,2055
32,2063
33,2058
34,2054
35,2062
36,2057
37,2059
38,2055
39,2049
40,2053
41,2056
42,2060
43,2061
44,2059
45,2049
46,2057
47,2058
48,2062
49,2059
50,2059
51,2058
52,2057
53,2052
54,2059
55,2051
56,2060
57,2055
58,2055
59,2052
60,2054
61,2051
62,2054
63,2060
64,2056
65,2051
66,2052
67,2053
68,2050
69,2055
70,2053
71,2056
72,2060
73,2057
74,2055
75,2054
76,2053
77,2060
78,2055
79,2055
80,2056
81,2053
82,2059
83,2055
84,2060
85,2053
86,2061
87,2060
88,2050
89,2053
90,2054
91,2053
92,2052
93,2062
94,2058
95,2062
96,2056
97,2060
98,2055
99,2057
100,2050
101,2057
102,2052
103,2052
104,2057
105,2053
106,2059
107,2069
108,2059
109,2055
110,2053
111,2053
112,2051
113,2057
114,2056
115,2055
116,2055
117,2054
118,2061
119,2051
120,2062
121,2052
122,2059
123,2060
124,2056
125,2053
126,2053
127,2057
128,2056
129,2063
130,2057
131,2061
132,2053
133,2054
134,2053
135,2051
136,2052
137,2051
138,2052
139,2053
140,2055
141,2059
142,2055
143,2054
144,2046
145,2058
146,2055
147,2054
148,2055
149,2054
150,2055
151,2051
152,2061
153,2052
154,2063
155,2054
156,2058
157,2060
158,2054
159,2054
160,2058
161,2059
162,2052
163,2053
164,2058
165,2053
166,2060
167,2054
168,2055
169,2051
170,2057
171,2057
172,2067
173,2058
174,2060
175,2056
176,2051
177,2053
178,2054
179,2052
180,2053
181,2056
182,2051
183,2056
184,2053
185,2058
186,2056
187,2055
188,2055
189,2057
190,2055
191,2048
192,2055
193,2052
194,2053
195,2060
196,2060
197,2051
198,2053
199,2057
200,2055
201,2060
202,2051
203,2060
204,2052
205,2059
206,2056
207,2053
208,2055
209,2057
210,2053
211,2054
212,2053
213,2055
214,2050
215,2054
216,2055
217,2056
218,2061
219,2050
220,2053
221,2058
222,2067
223,2056
224,2064
225,2052
226,2057
227,2052
228,2055
229,2053
230,2059
231,2053
232,2050
233,2058
234,2055
235,2058
236,2049
237,2054
238,2049
239,2055
240,2052
241,2055
242,2055
243,2050
244,2056
245,2056
246,2058
247,2051
248,2057
249,2061
250,2054
251,2053
252,2065
253,2054
254,2051
255,2058
256,2059
257,2054
258,2050
259,2054
260,2056
261,2052
262,2053
263,2052
264,2053
265,2054
266,2055
267,2055
268,2053
269,2055
270,2058
271,2051
272,2055
273,2062
274,2054
275,2058
276,2052
277,2066
278,2056
279,2051
280,2052
281,2054
282,2059
283,2054
284,2056
285,2063
286,2051
287,2053
288,2058
289,2048
290,2054
291,2051
292,2052
293,2055
294,2049
295,2050
296,2061
297,2060
298,2051
299,2056
300,2050
301,2056
302,2055
303,2054
304,2054
305,2071
306,2066
307,2056
308,2056
309,2051
310,2050
311,2051
312,2052
313,2051
314,2051
315,2050
316,2053
317,2058
318,2056
319,2054
320,2054
321,2055
322,2054
323,2061
324,2054
325,2054
326,2071
327,2059
328,2055
329,2050
330,2061
331,2049
332,2059
333,2060
334,2055
335,2051
336,2050
337,2051
338,2053
339,2053
340,2055
341,2053
342,2053
343,2049
344,2056
345,2054
346,2050
347,2051
348,2053
349,2056
350,2053
351,2051
352,2054
353,2051
354,2055
355,2057
356,2056
357,2057
358,2055
359,2051
360,2051
361,2052
362,2053
363,2056
364,2054
365,2050
366,2053
367,2058
368,2058
369,2051
370,2050
371,2056
372,2050
373,2050
374,2059
375,2059
376,2058
377,2056
378,2064
379,2056
380,2057
381,2055
382,2048
383,2051
384,2056
385,2058
386,2055
387,2052
388,2052
389,2053
390,2055
391,2058
392,2053
393,2053
394,2054
395,2050
396,2053
397,2057
398,2060
399,2061
400,2052
401,2050
402,2050
403,2056
404,2055
405,2055
406,2054
407,2061
408,2054
409,2053
410,2062
411,2051
412,2052
413,2056
414,2053
415,2055
416,2058
417,2052
418,2051
419,2059
420,2053
421,2059
422,2053
423,2053
424,2050
425,2057
426,2051
427,2062
428,2053
429,2063
430,2048
431,2050
432,2057
433,2054
434,2050
435,2060
436,2060
437,2054
438,2053
439,2057
440,2054
441,2056
442,2052
443,2057
444,2065
445,2055
446,2054
447,2053
448,2050
449,2052
450,2057
451,2053
