simulation,depletion_year
0,2058
1,2054
2,2053
3,2056
4,2054
5,2054
6,2055
7,2055
8,2050
9,2053
10,2056
11,2056
12,2053
13,2056
14,2055
15,2051
16,2053
17,2054
18,2052
19,2057
20,2053
21,2055
22,2052
23,2053
24,2053
25,2052
26,2057
27,2058
28,2056
29,2051
30,2059
31,2061
32,2053
33,2050
34,2054
35,2048
36,2054
37,2055
38,2053
39,2055
40,2052
41,2052
42,2057
43,2053
44,2054
45,2053
46,2052
47,2050
48,2057
49,2050
50,2052
51,2064
52,2051
53,2052
54,2054
55,2058
56,2058
57,2063
58,2053
59,2052
60,2054
61,2061
62,2059
63,2051
64,2052
65,2054
66,2058
67,2050
68,2054
69,2051
70,2052
71,2055
72,2059
73,2055
74,2052
75,2054
76,2053
77,2052
78,2054
79,2053
80,2059
81,2052
82,2051
83,2054
84,2056
85,2051
86,2056
87,2051
88,2053
89,2051
90,2057
91,2054
92,2051
93,2055
94,2053
95,2055
96,2052
97,2052
98,2049
99,2050
100,2047
101,2058
102,2050
103,2058
104,2057
105,2050
106,2058
107,2053
108,2053
109,2055
110,2048
111,2054
112,2048
113,2054
114,2055
115,2058
116,2055
117,2056
118,2057
119,2054
120,2057
121,2054
122,2054
123,2057
124,2054
125,2050
126,2057
127,2055
128,2051
129,2056
130,2052
131,2057
132,2053
133,2058
134,2050
135,2052
136,2055
137,2062
138,2053
139,2053
140,2052
141,2051
142,2057
143,2051
144,2056
145,2054
146,2055
147,2047
148,2052
149,2060
150,2056
151,2063
152,2061
153,2053
154,2054
155,2052
156,2052
157,2050
158,2051
159,2050
160,2053
161,2050
162,2057
163,2054
164,2056
165,2057
166,2052
167,2049
168,2058
169,2058
170,2053
171,2054
172,2050
173,2052
174,2053
175,2054
176,2058
177,2055
178,2051
179,2048
180,2053
181,2058
182,2056
183,2054
184,2049
185,2053
186,2058
187,2052
188,2055
189,2057
190,2058
191,2051
192,2058
193,2056
194,2050
195,2056
196,2051
197,2053
198,2054
199,2057
200,2053
201,2063
202,2056
203,2053
204,2049
205,2057
206,2054
207,2053
208,2053
209,2059
210,2053
211,2052
212,2051
213,2056
214,2053
215,2051
216,2052
217,2055
218,2049
219,2058
220,2054
221,2055
222,2054
223,2060
224,2049
225,2054
226,2055
227,2054
228,2052
229,2054
230,2056
231,2050
232,2052
233,2053
234,2055
235,2053
236,2053
237,2053
238,2061
239,2055
240,2053
241,2052
242,2056
243,2055
244,2061
245,2052
246,2054
247,2052
248,2056
249,2053
250,2054
251,2053
252,2053
253,2056
254,2051
255,2056
256,2053
257,2056
258,2055
259,2054
260,2050
261,2054
262,2055
263,2050
264,2052
265,2059
266,2053
267,2055
268,2055
269,2057
270,2056
271,2059
272,2049
273,2053
274,2053
275,2051
276,2055
277,2050
278,2052
279,2053
280,2055
281,2054
282,2049
283,2058
284,2056
285,2053
286,2050
287,2052
288,2055
289,2054
290,2057
291,2056
292,2053
293,2055
294,2052
295,2052
296,2058
297,2050
298,2053
299,2058
300,2052
301,2053
302,2057
303,2055
304,2050
305,2050
306,2055
307,2056
308,2053
309,2051
310,2054
311,2053
312,2052
313,2052
314,2053
315,2056
316,2052
317,2056
318,2053
319,2056
320,2056
321,2054
322,2055
323,2047
324,2055
325,2053
326,2055
327,2053
328,2061
329,2059
330,2056
331,2052
332,2053
333,2055
334,2052
335,2053
336,2056
337,2054
338,2058
339,2051
340,2050
341,2057
342,2050
343,2052
344,2050
345,2052
346,2053
347,2053
348,2050
349,2053
350,2055
351,2054
352,2051
353,2052
354,2051
355,2056
356,2052
357,2051
358,2056
359,2050
360,2049
361,2052
362,2052
363,2054
364,2052
365,2055
366,2058
367,2052
368,2052
369,2057
370,2059
371,2054
372,2055
373,2054
374,2054
375,2057
376,2053
377,2049
378,2059
379,2051
380,2051
381,2055
382,2053
383,2056
384,2055
385,2052
386,2055
387,2056
388,2053
389,2055
390,2053
391,2054
392,2059
393,2056
394,2056
395,2053
396,2052
397,2049
398,2051
399,2050
400,2056
401,2057
402,2052
403,2054
404,2052
405,2051
406,2054
407,2060
408,2055
409,2054
410,2055
411,2055
412,2054
413,2052
414,2052
415,2055
416,2057
417,2063
418,2052
419,2054
420,2058
421,2056
422,2050
423,2054
424,2054
425,2052
426,2053
427,2054
428,2055
429,2054
430,2051
431,2052
432,2052
433,2059
434,2056
435,2053
436,2056
437,2053
438,2051
439,2055
440,2055
441,2054
442,2052
443,2050
444,2054
445,2050
446,2055
447,2056
448,2052
449,2055
450,2057
451,2056
452,2053
453,2058
454,2052
455,2054
456,2052
457,2052
458,2055
459,2051
460,2054
461,2051
462,2052
463,2054
464,2051
465,2051
466,2050
467,2054
468,2055
469,2057
470,2050
471,2052
472,2050
473,2056
474,2059
475,2057
476,2054
477,2050
478,2057
479,2057
480,2057
481,2060
482,2061
483,2050
484,2056
485,2056
486,2053
487,2051
488,2059
489,2056
490,2054
491,2054
492,2056
493,2054
494,2059
495,2054
496,2052
497,2054
498,2054
499,2052
500,2055
501,2055
502,2055
503,2048
504,2055
